customer_state,seller_state,n,median_freight,median_distance,median_delivery_days
PB,PI,1,23.6,849.6,12.0
PB,PR,46,34.5,2539.6,19.0
PB,RJ,25,25.1,1938.3,13.0
PB,RN,2,34.6,325.3,11.5
PB,RS,8,53.8,3031.0,12.5
PB,SC,20,46.5,2643.8,21.5
PB,SP,400,34.3,2189.3,18.0
PE,BA,36,19.0,656.2,15.0
PE,CE,7,21.9,629.4,13.0
PE,DF,10,23.8,1619.2,14.0
PE,ES,6,48.2,1474.5,14.5
PE,GO,11,24.8,1779.5,18.0
PE,MA,23,20.5,1202.5,12.5
PE,MG,119,34.2,1648.7,14.0
PE,MT,6,28.1,2450.0,25.5
PE,PB,2,16.2,121.1,6.5
PE,PE,24,12.6,48.5,5.0
PE,PI,1,24.9,834.5,23.0
PE,PR,102,41.8,2461.7,17.0
PE,RJ,108,33.7,1853.1,13.0
PE,RS,18,51.2,2947.7,19.5
PE,SC,42,46.1,2568.7,18.0
PE,SE,2,39.5,402.2,11.0
PE,SP,1289,26.3,2103.9,15.0
PI,BA,10,30.8,835.5,9.0
PI,CE,3,15.4,490.9,22.0
PI,DF,8,24.2,1319.6,18.5
PI,ES,2,70.0,1738.6,17.5
PI,GO,2,43.9,1421.7,20.5
PI,MA,5,17.0,327.4,14.0
PI,MG,33,34.2,1660.4,13.0
PI,PE,8,21.6,830.0,16.5
PI,PI,1,20.1,163.4,2.0
PI,PR,32,44.2,2265.0,15.5
PI,RJ,28,35.5,1965.1,14.0
PI,RS,13,36.0,2899.2,16.0
PI,SC,19,46.9,2519.9,21.0
PI,SP,378,34.2,2078.3,17.0
PR,BA,14,35.8,1780.5,14.0
PR,CE,6,31.4,2667.8,20.0
PR,DF,33,23.9,1072.6,10.5
PR,ES,16,36.6,1119.9,10.0
PR,GO,16,38.4,979.2,14.0
PR,MA,9,27.8,2606.1,17.0
PR,MG,415,19.6,807.2,11.0
PR,MS,4,23.1,865.9,10.0
PR,MT,8,31.4,1091.1,14.5
PR,PA,1,35.8,229.4,3.0
PR,PE,9,30.5,2455.5,12.0
PR,PI,1,39.3,2498.7,12.0
PR,PR,827,13.5,262.1,7.0
PR,RJ,234,17.1,734.8,11.0
PR,RN,4,39.8,2760.1,18.5
PR,RO,1,43.5,1886.7,7.0
PR,RS,149,17.9,543.6,8.0
PR,SC,324,16.7,331.8,9.0
PR,SE,2,21.7,1960.6,13.0
PR,SP,3667,17.7,420.5,11.0
